2044	0
2044	1
2044	2
2044	3
2044	4
2046	5
2051	6
2055	7
2061	8
2063	9
2065	10
2067	11
2068	12
2067	13
2067	14
2064	15
2060	16
2055	17
2052	18
2048	19
2045	20
2045	21
2044	22
2043	23
2044	24
2048	25
2053	26
2058	27
2062	28
2063	29
2065	30
2066	31
2068	32
2067	33
2065	34
2063	35
2059	36
2055	37
2052	38
2048	39
2048	40
2048	41
2046	42
2047	43
2048	44
2049	45
2053	46
2059	47
2063	48
2064	49
2067	50
2069	51
2070	52
2069	53
2065	54
2063	55
2060	56
2057	57
2053	58
2049	59
2046	60
2046	61
2045	62
2045	63
2045	64
2046	65
2052	66
2056	67
2060	68
2061	69
2063	70
2066	71
2067	72
2066	73
2063	74
2059	75
2054	76
2052	77
2049	78
2045	79
2043	80
2041	81
2040	82
2041	83
2041	84
2043	85
2048	86
2053	87
2058	88
2060	89
2063	90
2064	91
2066	92
2065	93
2064	94
2060	95
2057	96
2053	97
2051	98
2048	99
